phenotype_id,phenotype_name,ecotype_id,value,replicate_id
1,LD,5837,41.8750333333,1
1,LD,6008,26.0,1
1,LD,6009,200.0,1
1,LD,6016,83.0417,1
1,LD,6040,200.0,1
1,LD,6042,29.1666666667,1
1,LD,6043,200.0,1
1,LD,6046,200.0,1
1,LD,6064,200.0,1
1,LD,6074,200.0,1
1,LD,6243,35.8402833333,1
1,LD,6709,33.6736166667,1
1,LD,6897,45.2083666667,1
1,LD,6898,26.3402833333,1
1,LD,6899,27.5,1
1,LD,6900,200.0,1
1,LD,6901,200.0,1
1,LD,6903,38.5278,1
1,LD,6904,92.53475,1
1,LD,6905,32.0,1
1,LD,6906,28.6666666667,1
1,LD,6907,46.8680833333,1
1,LD,6908,35.50695,1
1,LD,6909,27.3333333333,1
1,LD,6910,26.8333333333,1
1,LD,6911,31.6666666667,1
1,LD,6913,200.0,1
1,LD,6914,140.354183333,1
1,LD,6915,41.2014166667,1
1,LD,6916,25.5,1
1,LD,6917,200.0,1
1,LD,6918,200.0,1
1,LD,6919,34.6666666667,1
1,LD,6920,157.680566667,1
1,LD,6921,162.5139,1
1,LD,6922,27.5,1
1,LD,6923,25.1666666667,1
1,LD,6924,28.8333333333,1
1,LD,6926,31.6666666667,1
1,LD,6927,57.4417,1
1,LD,6928,38.52085,1
1,LD,6929,45.0417,1
1,LD,6930,35.6805666667,1
1,LD,6931,31.0,1
1,LD,6932,26.8333333333,1
1,LD,6933,46.03475,1
1,LD,6936,48.0417,1
1,LD,6937,37.3472333333,1
1,LD,6939,26.6666666667,1
1,LD,6940,26.8333333333,1
1,LD,6942,25.0,1
1,LD,6943,31.6666666667,1
1,LD,6944,28.0,1
1,LD,6945,40.2014166667,1
1,LD,6946,32.8402833333,1
1,LD,6951,44.0417,1
1,LD,6956,51.2083666667,1
1,LD,6957,44.3680833333,1
1,LD,6958,27.1666666667,1
1,LD,6959,38.02085,1
1,LD,6960,24.6666666667,1
1,LD,6961,46.5417,1
1,LD,6962,33.3402833333,1
1,LD,6963,50.0417,1
1,LD,6964,60.8417,1
1,LD,6965,200.0,1
1,LD,6966,42.6944666667,1
1,LD,6967,26.8333333333,1
1,LD,6968,200.0,1
1,LD,6969,200.0,1
1,LD,6970,43.2083666667,1
1,LD,6971,71.3750333333,1
1,LD,6972,35.1736166667,1
1,LD,6973,29.6,1
1,LD,6974,200.0,1
1,LD,6975,31.0,1
1,LD,6976,54.4417,1
1,LD,6977,28.3333333333,1
1,LD,6978,23.6666666667,1
1,LD,6979,23.3333333333,1
1,LD,6980,99.03342,1
1,LD,6981,23.1666666667,1
1,LD,6982,28.8333333333,1
1,LD,6983,59.7917,1
1,LD,6984,27.8333333333,1
1,LD,6985,36.8472333333,1
1,LD,6988,64.7083666667,1
1,LD,7081,45.031275,1
1,LD,7296,29.6666666667,1
1,LD,7323,29.52085,1
1,LD,7438,85.3680833333,1
1,LD,7461,33.1666666667,1
1,LD,7514,41.8611333333,1
1,LD,7515,50.6417,1
1,LD,7516,200.0,1
1,LD,7517,200.0,1
1,LD,7518,185.340333333,1
1,LD,7519,101.868083333,1
1,LD,7520,36.8402833333,1
1,LD,7521,36.3472333333,1
1,LD,7522,63.4417,1
1,LD,7523,63.8417,1
1,LD,7524,47.0278,1
1,LD,7525,31.5,1
1,LD,7526,52.0417,1
1,LD,8213,25.0,1
1,LD,8214,37.6805666667,1
1,LD,8215,33.6666666667,1
1,LD,8222,200.0,1
1,LD,8230,200.0,1
1,LD,8231,95.0417,1
1,LD,8233,41.52085,1
1,LD,8235,21.0,1
1,LD,8236,35.6736166667,1
1,LD,8237,200.0,1
1,LD,8239,28.5,1
1,LD,8240,200.0,1
1,LD,8242,200.0,1
1,LD,8243,93.0417,1
1,LD,8245,34.25,1
1,LD,8247,200.0,1
1,LD,8249,200.0,1
1,LD,8254,33.8402833333,1
1,LD,8256,28.8333333333,1
1,LD,8258,34.0,1
1,LD,8259,37.3472333333,1
1,LD,8264,55.03336,1
1,LD,8265,25.0,1
1,LD,8266,200.0,1
1,LD,8270,33.8,1
1,LD,8271,28.1666666667,1
1,LD,8274,63.0417,1
1,LD,8275,34.5,1
1,LD,8283,200.0,1
1,LD,8284,77.0417,1
1,LD,8285,35.8402833333,1
1,LD,8290,27.3333333333,1
1,LD,8296,29.3402833333,1
1,LD,8297,200.0,1
1,LD,8300,35.40834,1
1,LD,8306,72.0417,1
1,LD,8310,26.0,1
1,LD,8311,30.5,1
1,LD,8312,29.8333333333,1
1,LD,8313,26.0,1
1,LD,8314,29.4,1
1,LD,8325,29.6666666667,1
1,LD,8326,41.8680833333,1
1,LD,8329,26.6666666667,1
1,LD,8334,40.82502,1
1,LD,8335,200.0,1
1,LD,8337,82.0417,1
1,LD,8343,33.6666666667,1
1,LD,8351,200.0,1
1,LD,8353,27.0,1
1,LD,8354,34.3472333333,1
1,LD,8357,52.5417,1
1,LD,8365,27.5,1
1,LD,8369,95.0417,1
1,LD,8374,31.8333333333,1
1,LD,8376,200.0,1
1,LD,8378,41.82502,1
1,LD,8387,35.510425,1
1,LD,8389,32.8333333333,1
1,LD,8395,33.3333333333,1
1,LD,8411,27.1666666667,1
1,LD,8424,44.2014166667,1
2,LDV,5837,25.0,1
2,LDV,6008,24.6666666667,1
2,LDV,6009,47.0,1
2,LDV,6016,35.0,1
2,LDV,6040,43.2,1
2,LDV,6042,28.0,1
2,LDV,6043,52.8333333333,1
2,LDV,6046,51.25,1
2,LDV,6064,42.0,1
2,LDV,6074,43.6,1
2,LDV,6243,24.75,1
2,LDV,6709,26.5,1
2,LDV,6897,25.5,1
2,LDV,6898,20.4,1
2,LDV,6899,23.1666666667,1
2,LDV,6900,33.5,1
2,LDV,6901,30.2,1
2,LDV,6903,23.8333333333,1
2,LDV,6904,23.3333333333,1
2,LDV,6905,35.1666666667,1
2,LDV,6906,18.6666666667,1
2,LDV,6907,30.1666666667,1
2,LDV,6908,23.0,1
2,LDV,6909,23.0,1
2,LDV,6910,21.6666666667,1
2,LDV,6911,22.0,1
2,LDV,6913,40.5,1
2,LDV,6914,35.5,1
2,LDV,6915,30.1666666667,1
2,LDV,6916,27.1666666667,1
2,LDV,6917,52.0,1
2,LDV,6918,53.0,1
2,LDV,6919,24.3333333333,1
2,LDV,6920,44.6666666667,1
2,LDV,6921,41.6666666667,1
2,LDV,6922,25.0,1
2,LDV,6923,23.0,1
2,LDV,6924,24.3333333333,1
2,LDV,6926,22.6666666667,1
2,LDV,6927,30.5,1
2,LDV,6928,30.1666666667,1
2,LDV,6929,27.6,1
2,LDV,6930,19.8333333333,1
2,LDV,6931,22.0,1
2,LDV,6932,24.3333333333,1
2,LDV,6933,22.0,1
2,LDV,6936,24.5,1
2,LDV,6937,30.6666666667,1
2,LDV,6939,22.5,1
2,LDV,6940,24.6666666667,1
2,LDV,6942,20.8333333333,1
2,LDV,6943,23.5,1
2,LDV,6944,21.3333333333,1
2,LDV,6945,33.0,1
2,LDV,6946,29.8333333333,1
2,LDV,6951,25.6666666667,1
2,LDV,6956,27.1666666667,1
2,LDV,6957,28.8333333333,1
2,LDV,6958,23.1666666667,1
2,LDV,6959,29.1666666667,1
2,LDV,6960,20.3333333333,1
2,LDV,6961,20.1666666667,1
2,LDV,6962,24.5,1
2,LDV,6963,27.0,1
2,LDV,6964,32.6666666667,1
2,LDV,6965,40.0,1
2,LDV,6966,23.8333333333,1
2,LDV,6967,21.6666666667,1
2,LDV,6968,34.5,1
2,LDV,6969,33.1666666667,1
2,LDV,6970,19.8333333333,1
2,LDV,6971,19.5,1
2,LDV,6972,31.3333333333,1
2,LDV,6973,27.0,1
2,LDV,6974,55.6666666667,1
2,LDV,6975,25.0,1
2,LDV,6976,25.1666666667,1
2,LDV,6977,23.5,1
2,LDV,6978,21.8333333333,1
2,LDV,6979,20.8333333333,1
2,LDV,6980,26.1666666667,1
2,LDV,6981,19.1666666667,1
2,LDV,6982,27.8333333333,1
2,LDV,6983,32.2,1
2,LDV,6984,21.1666666667,1
2,LDV,6985,21.8333333333,1
2,LDV,6988,25.75,1
2,LDV,7081,27.4,1
2,LDV,7296,27.0,1
2,LDV,7323,29.75,1
2,LDV,7438,28.0,1
2,LDV,7461,24.6,1
2,LDV,7514,29.5,1
2,LDV,7515,29.3333333333,1
2,LDV,7516,42.8333333333,1
2,LDV,7518,35.3333333333,1
2,LDV,7519,33.1666666667,1
2,LDV,7520,26.0,1
2,LDV,7521,25.1666666667,1
2,LDV,7522,34.6666666667,1
2,LDV,7523,27.6666666667,1
2,LDV,7524,24.1666666667,1
2,LDV,7525,24.1666666667,1
2,LDV,7526,29.1666666667,1
2,LDV,8213,18.8333333333,1
2,LDV,8214,25.8333333333,1
2,LDV,8215,24.0,1
2,LDV,8222,41.25,1
2,LDV,8230,46.8,1
2,LDV,8233,46.0,1
2,LDV,8235,23.75,1
2,LDV,8236,27.0,1
2,LDV,8237,38.4,1
2,LDV,8239,25.3333333333,1
2,LDV,8240,42.5,1
2,LDV,8241,37.0,1
2,LDV,8242,48.8333333333,1
2,LDV,8243,28.5,1
2,LDV,8245,25.0,1
2,LDV,8247,44.75,1
2,LDV,8249,41.1666666667,1
2,LDV,8254,22.8333333333,1
2,LDV,8256,36.3333333333,1
2,LDV,8258,35.6,1
2,LDV,8259,31.8,1
2,LDV,8264,22.3333333333,1
2,LDV,8265,24.6,1
2,LDV,8266,35.0,1
2,LDV,8270,24.5,1
2,LDV,8271,26.1666666667,1
2,LDV,8274,32.6,1
2,LDV,8275,29.0,1
2,LDV,8283,34.2,1
2,LDV,8284,30.0,1
2,LDV,8285,23.5,1
2,LDV,8290,23.3333333333,1
2,LDV,8296,23.8333333333,1
2,LDV,8297,27.0,1
2,LDV,8300,27.6666666667,1
2,LDV,8306,37.8,1
2,LDV,8310,31.0,1
2,LDV,8311,22.0,1
2,LDV,8312,25.0,1
2,LDV,8313,25.0,1
2,LDV,8314,27.0,1
2,LDV,8323,24.0,1
2,LDV,8325,22.8333333333,1
2,LDV,8326,34.8,1
2,LDV,8329,24.3333333333,1
2,LDV,8334,25.8333333333,1
2,LDV,8335,49.8,1
2,LDV,8337,28.5,1
2,LDV,8343,25.0,1
2,LDV,8351,36.0,1
2,LDV,8353,19.3333333333,1
2,LDV,8354,27.5,1
2,LDV,8357,25.6666666667,1
2,LDV,8365,30.5,1
2,LDV,8369,41.0,1
2,LDV,8374,32.6666666667,1
2,LDV,8376,45.75,1
2,LDV,8378,27.6,1
2,LDV,8387,30.3333333333,1
2,LDV,8388,24.0,1
2,LDV,8389,27.2,1
2,LDV,8395,36.25,1
2,LDV,8411,25.0,1
2,LDV,8424,21.6666666667,1
3,SD,5837,75.6666666667,1
3,SD,6008,69.6666666667,1
3,SD,6016,200.0,1
3,SD,6040,200.0,1
3,SD,6042,83.3402833333,1
3,SD,6043,200.0,1
3,SD,6046,200.0,1
3,SD,6064,200.0,1
3,SD,6074,200.0,1
3,SD,6243,98.2015666667,1
3,SD,6709,96.7014666667,1
3,SD,6897,200.0,1
3,SD,6898,67.8333333333,1
3,SD,6899,88.52095,1
3,SD,6900,200.0,1
3,SD,6901,200.0,1
3,SD,6903,88.5139,1
3,SD,6904,110.042,1
3,SD,6905,101.04185,1
3,SD,6906,61.8333333333,1
3,SD,6907,102.54185,1
3,SD,6908,95.63342,1
3,SD,6909,93.82514,1
3,SD,6910,69.1666666667,1
3,SD,6911,62.0,1
3,SD,6913,200.0,1
3,SD,6914,108.708666667,1
3,SD,6915,101.031425,1
3,SD,6916,89.6875666667,1
3,SD,6917,200.0,1
3,SD,6918,200.0,1
3,SD,6919,101.54185,1
3,SD,6920,200.0,1
3,SD,6921,200.0,1
3,SD,6922,70.1666666667,1
3,SD,6923,106.375233333,1
3,SD,6924,84.1805666667,1
3,SD,6926,84.6736166667,1
3,SD,6927,200.0,1
3,SD,6928,117.292,1
3,SD,6929,86.50695,1
3,SD,6930,85.41674,1
3,SD,6931,83.1806166667,1
3,SD,6932,75.50695,1
3,SD,6933,76.0,1
3,SD,6936,91.52085,1
3,SD,6937,83.52085,1
3,SD,6939,86.21674,1
3,SD,6940,94.1945666667,1
3,SD,6942,65.0,1
3,SD,6944,79.60834,1
3,SD,6945,104.291925,1
3,SD,6946,102.44188,1
3,SD,6951,87.5139,1
3,SD,6956,90.3541833333,1
3,SD,6957,101.201616667,1
3,SD,6958,102.5419,1
3,SD,6959,89.3541833333,1
3,SD,6960,81.8402833333,1
3,SD,6961,73.3333333333,1
3,SD,6962,77.0,1
3,SD,6963,99.79185,1
3,SD,6964,200.0,1
3,SD,6965,200.0,1
3,SD,6966,96.8612333333,1
3,SD,6967,76.6736166667,1
3,SD,6968,200.0,1
3,SD,6969,200.0,1
3,SD,6970,69.1666666667,1
3,SD,6971,92.02785,1
3,SD,6972,73.3333333333,1
3,SD,6973,65.8402833333,1
3,SD,6974,200.0,1
3,SD,6975,75.6666666667,1
3,SD,6976,110.041925,1
3,SD,6977,93.1945166667,1
3,SD,6978,81.2,1
3,SD,6979,64.5,1
3,SD,6980,119.042,1
3,SD,6981,64.6666666667,1
3,SD,6982,80.1666666667,1
3,SD,6983,200.0,1
3,SD,6984,86.3472333333,1
3,SD,6985,77.0,1
3,SD,6988,200.0,1
3,SD,7081,76.2,1
3,SD,7296,89.6806166667,1
3,SD,7323,81.3402833333,1
3,SD,7438,93.0417,1
3,SD,7461,114.375333333,1
3,SD,7514,98.63348,1
